id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
--,-----,-------,----,------,--------------
1,17,"Z AMIT GENERAL STORE, RAM KRUSHAN",ROLL (V),EXTRA,29397
2,18,"AMIT GENERAL STORE ( VINU BHAI ), MOHAN BAG   (Unclear Cheque :      32000)",MOHAN BAG,VIPULBHAI,536184
3,19,"ASHAPURI TRADERS, UDHNA YARD",UDHNA YARD,NITINBHAI 2,77935
4,20,"AMBIKA TRADING (NILGIRI), UDHNA YARD NAHER",UDHNA YARD NAHER,NITINBHAI 2,203831
5,21,"ARADHANA TRADERS, NAVAGAM",NAVAGAM,NITINBHAI 2,92975
6,22,"ARIHANT TRADERS ( DIPAK BHAI ), KATAR GAM   (Unclear Cheque :     266800)",KATAR GAM 2,NITINBHAI 1,247536
7,23,"AMAR SONS (SONY FALIYA), BHAGAL",BHAGAL,NITINBHAI 1,0
8,24,"ARIHANT TRADERS ( NARU BHAI ), KAMREJ   (Unclear Cheque :     240355)",KAMREJ,VIPULBHAI,75905
9,25,"ARIHANT TRADERS ( SURENDRA BHAI ), KAMREJ",KAMREJ,VIPULBHAI,0
10,26,"ASHA TRADERS, CHALTHAN",CHALTHAN,VIPULBHAI,15500
11,27,"ANAND TRADERS, KADODARA",KADODARA,VIPULBHAI,507700
12,28,"Z ANJALI SALES, VARSHA 2",ROLL (V),EXTRA,64218
13,29,"AMBIKA TRADING (SUMUL DAIRY ROAD), SUMUL DAIRY",KATAR GAM 1,NITINBHAI 1,90248
14,30,"Z ASHAPURA KARIYANA STORE, SAHAJANAND",ROLL (V),EXTRA,46255
15,31,"Z AMARDEEP PROVISION STORE, BHAGIRATHA",ROLL (V),EXTRA,9932
16,32,"AMBIKA KARIYANA STORE, BHOLA NAGAR",BHOLA NAGAR,VIPULBHAI,0
17,33,"Z ARIHANT TOBECO, AMROLI",ROLL (D),EXTRA,17138
18,35,"Z AMBIKA COCONUT, MOHANBAG",ROLL (V),EXTRA,19297
19,36,"ARIHANT TRADING (RANJIT), PANDESARA   (Unclear Cheque :      47511)",PANDESARA,NITINBHAI 2,1191959
20,37,"ASHAPURA TRADERS (RAMI PARK), GODADRA   (Unclear Cheque :     123950)",NAVAGAM,NITINBHAI 2,25068
21,38,"AGRAWAL TRADERS (BHARAT NAGAR), CHALTHAN",CHALTHAN,VIPULBHAI,154805
22,39,"AMBIKA KARIYANA, CHALTHAN",CHALTHAN,VIPULBHAI,245206
23,40,"ASHIRVAD SUPER STORE, KADODARA",KADODARA,VIPULBHAI,126125
24,41,"AGRAWAL TRADERS (VED ROAD), KATARGAM",KATAR GAM 1,NITINBHAI 1,22640
25,42,"AMAR TRADERS (DABGARVAD), BHAGAL",BHAGAL,NITINBHAI 1,0
26,43,"Z ARIHANT TRADERS (BALAJI), KADODRA",ROLL (D),EXTRA,9632
27,44,"Z AGRAWAL TRADERS SUGAR FACTORY, CHALTHAN",ROLL (D),EXTRA,3550
28,46,"AL KADIR GENERAL, ADAJAN PATIYA",PALANPUR PATIYA,NITINBHAI 1,45255
29,47,"AGRAWAL CORPORATION (VISHNUBHAI), (H.AGRAWAL BHAGVATI LAL) CHALTHAN",CHALTHAN,VIPULBHAI,0
30,48,"AMAJ KIRANA, SITARAM SOC",SITA RAM NAGAR,VIPULBHAI,6530
31,49,"ARIHANT TRADERS (PRAKASH BHAI), UDHANA YARD",UDHNA YARD,NITINBHAI 2,1462396
32,50,"AKSHAYPATRA FOUNDATION (I MATA ROAD), B/H DR WORLD",PARBAT PATIYA,KANBHAI,1079595
33,53,"AKASH TRADERS (MAHAPRABHU NAGAR), GODADARA",GODADARA 2,NITINBHAI 2,383958
34,54,"APMC SURAT (SAHARA DARWAJA), RING ROAD",PARBAT PATIYA,NITINBHAI 2,98485
35,56,"ARIHANT TRADERS, BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,313900
36,57,"ASHA TRADERS, KHODIYAR NAGAR",KHODIYAR NAGAR,VIPULBHAI,58950
37,58,"AGRAWAL TRADERS (ASHA NI BAJUMA), CHALTHAN",CHALTHAN,VIPULBHAI,0
38,59,"ANAMOL FOOD, PIPODARA KAMREJ",KIM,KANBHAI,850600
39,60,"AMBIKA GENERAL (HOUSING), SACHIN",SACHIN,VIPULBHAI,0
40,61,"ARAVIND TRADERS, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,-68516
41,62,"ASHIRVAD SUPER, GODADRA NAHER",GODADARA 1,NITINBHAI 2,345727
42,63,"ASHAPURA TRADERS, GODADRA",GODADARA 2,NITINBHAI 2,129244
43,65,"ARBUDA SUPER STORE (BEGAMPURA), ZAPA BAZAR",DILHI GATE,NITINBHAI 1,23510
44,66,"ASHISH TRADERS, GODADRA",GODADARA 2,NITINBHAI 2,12420
45,68,"AKSHAR DHOKLA, MOTA VARACHHA",MOTAVARACHCHA,VIPULBHAI,188120
46,69,"AMBIKA KIRANA (SINGAN POR), KATARGAM",KATAR GAM 1,NITINBHAI 1,63043
47,71,"APPU PROVISION, BHOLA NAGAR",BHOLA NAGAR,VIPULBHAI,68385
48,72,"ATUL KIRANA (LALJI BHAI), KATARGAM",KATAR GAM 2,NITINBHAI 1,0
49,73,"ASHOK TRADING, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,73500
50,74,"A-1 WEFFERS, NANA VARACHHA   (Unclear Cheque :      59625)",NANA VARACHHA,VIPULBHAI,0
51,76,"APMC SURAT (DEBIT), RING  ROAD",PARBAT PATIYA,NITINBHAI 2,44550
52,78,"AKASH PROVISION SOMNATH (JIGNESHBHAI), MAHUVA",SAVAR KUNDALA,DHIRENBHAI,126620
53,79,"AJAY TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,0
54,80,"AMBIKA KIRANA (AMBIKA NAGAR), KATARGAM",KATAR GAM 1,NITINBHAI 1,9611
55,83,"BHARAT TRADERS, KATAR GAM",KATAR GAM 2,NITINBHAI 1,148991
56,85,"BHAYANI GENERAL STORE (ASHOK BHAI), SANTOSHI NAGAR",SANTOSHI NAGAR D,VIPULBHAI,463719
57,87,"Z BHAVANI KARIYANA STORE, NANA VARACHHA",ROLL (D),EXTRA,17000
58,88,"BHERUNATH KARIYANA (S.B.SONS) KHARVASA, KRUSHNAKUNJ, GODADARA   (Unclear Cheque :     319230)",NAVAGAM,NITINBHAI 2,78593
59,89,"Z BHAVANI KARIYANA STORE, PUNA GAM",ROLL (D),EXTRA,9720
60,91,"BHIKSHU TOBACO, PARBAT PATIYA   (Unclear Cheque :     132670)",PARBAT PATIYA,NITINBHAI 2,5800
61,92,"BHERUJI SUPER MARKET (HARIHARI SOC), KATAR GAM",KATAR GAM 1,NITINBHAI 1,55485
62,93,"BHAVANI GENERAL (BAMROLI) SHIVAJI, PANDESARA",PANDESARA,NITINBHAI 2,45190
63,94,"BHERUNATH TRADERS (DHARTI NAGAR), A.K.ROAD",A.K.ROAD V,VIPULBHAI,66683
64,95,"BHANU PROVISION, H. GANESH KAMREJ KAMREJ",KAMREJ,VIPULBHAI,44575
65,96,"BHAGAVATI PROVISION (DABHOLI), KATAR GAM",KATAR GAM 1,NITINBHAI 1,206708
66,97,"BABUL GENERAL (SARATHANA JAKATNAKA), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,263920
67,98,"BABA KHETESHWAR TRADERS, GODADRA",GODADARA 2,NITINBHAI 2,2506281
68,99,"BHAARAT TRADERS, UDHANA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,383399
69,100,"BHAGAVATI SUPER STORES (HOUSING), SACHIN",SACHIN,VIPULBHAI,135250
70,101,"Z BARDOLI SEVA SAHAKARI MANDLI, BARDOLI",ROLL (D),EXTRA,3990
71,102,"BHARAT TRADERS (PUNA-KUMBHARIYA), PUNA GAM",PUNA GAM (D),VIPULBHAI,0
72,103,"BHAVAR BHAI, BARDOLI",BARDOLI,DHIRENBHAI,6500
73,104,"Z BRAHAMANI KIRANA, VADI",ROLL (V),EXTRA,3213
74,106,"BHAVANI KIRANA, H- AMBIKA NILGIRI UDHNA YARD NILGIRI",UDHNA YARD NAHER,NITINBHAI 2,106680
75,107,"BHAYANI TRADERS (CHIKUVADI), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,141025
76,108,"BHERUJI KIRANA & GENERAL STORE, AMROLI",AMROLI,VIPULBHAI,16625
77,109,"Z BALAJI PROVISON STORE, KIM",ROLL (D),EXTRA,42911
78,110,"BHAGAVATI TRADING (KISHAN LAL), SACHIN   (Unclear Cheque :     143355)",SACHIN,VIPULBHAI,145556
79,111,"Z BHIKHU MAMA, NAVSARI",ROLL (D),EXTRA,6898
80,112,"BHERUNATH KIRANA (MUKESH BHAI), MITHI KHADI",MITHI KHADI,NITINBHAI 2,291101
81,113,"BAJARANG KIRANA, PIPODARA",KIM,DHIRENBHAI,-4208
